,item,condition,sentence,target,alternative,model correct,target score,alternative score
0,Franck_0_SSS,SSS,The advertisement from the office of the real estate agent,is,are,1,-3.425309181213379,-6.655189514160156
1,Franck_0_SSP,SSP,The advertisement from the office of the real estate agents,is,are,1,-3.7125701904296875,-5.535229682922363
2,Franck_0_SPS,SPS,The advertisement from the offices of the real estate agent,is,are,1,-3.8427467346191406,-6.175714492797852
3,Franck_0_SPP,SPP,The advertisement from the offices of the real estate agents,is,are,1,-3.8328895568847656,-4.8820343017578125
4,Franck_0_PSS,PSS,The advertisements from the office of the real estate agent,are,is,1,-3.35158634185791,-6.91245174407959
5,Franck_0_PSP,PSP,The advertisements from the office of the real estate agents,are,is,1,-2.539921760559082,-7.937428951263428
6,Franck_0_PPS,PPS,The advertisements from the offices of the real estate agent,are,is,1,-4.0518693923950195,-7.538883209228516
7,Franck_0_PPP,PPP,The advertisements from the offices of the real estate agents,are,is,1,-2.5722742080688477,-7.904239654541016
8,Franck_1_SSS,SSS,The announcement by the director of the foundation,is,are,1,-2.461991310119629,-7.2957763671875
9,Franck_1_SSP,SSP,The announcement by the director of the foundations,is,are,1,-2.7845916748046875,-5.469858169555664
10,Franck_1_SPS,SPS,The announcement by the directors of the foundation,is,are,1,-2.4371337890625,-6.514413833618164
11,Franck_1_SPP,SPP,The announcement by the directors of the foundations,is,are,1,-2.7614097595214844,-5.497489929199219
12,Franck_1_PSS,PSS,The announcements by the director of the foundation,are,is,1,-1.736311912536621,-5.930830001831055
13,Franck_1_PSP,PSP,The announcements by the director of the foundations,are,is,1,-1.7346267700195312,-6.530616760253906
14,Franck_1_PPS,PPS,The announcements by the directors of the foundation,are,is,1,-1.8103923797607422,-6.08646297454834
15,Franck_1_PPP,PPP,The announcements by the directors of the foundations,are,is,1,-1.8961772918701172,-6.564763069152832
16,Franck_2_SSS,SSS,The article by the writer for the magazine,is,are,1,-3.0766468048095703,-8.161569595336914
17,Franck_2_SSP,SSP,The article by the writer for the magazines,is,are,1,-3.652764320373535,-6.754833221435547
18,Franck_2_SPS,SPS,The article by the writers for the magazine,is,are,1,-2.7767763137817383,-6.870673179626465
19,Franck_2_SPP,SPP,The article by the writers for the magazines,is,are,1,-3.4347991943359375,-5.869300842285156
20,Franck_2_PSS,PSS,The articles by the writer for the magazine,are,is,1,-2.724536895751953,-5.482419967651367
21,Franck_2_PSP,PSP,The articles by the writer for the magazines,are,is,1,-2.6771411895751953,-6.422636032104492
22,Franck_2_PPS,PPS,The articles by the writers for the magazine,are,is,1,-2.6840343475341797,-5.450582504272461
23,Franck_2_PPP,PPP,The articles by the writers for the magazines,are,is,1,-2.679398536682129,-6.588866233825684
24,Franck_3_SSS,SSS,The author of the speech about the city,is,are,1,-2.6474084854125977,-7.114952087402344
25,Franck_3_SSP,SSP,The author of the speech about the cities,is,are,1,-3.5096664428710938,-6.183012008666992
26,Franck_3_SPS,SPS,The author of the speeches about the city,is,are,1,-2.5824460983276367,-6.370001792907715
27,Franck_3_SPP,SPP,The author of the speeches about the cities,is,are,1,-3.5441761016845703,-5.640259742736816
28,Franck_3_PSS,PSS,The authors of the speech about the city,are,is,1,-2.997084617614746,-5.567344665527344
29,Franck_3_PSP,PSP,The authors of the speech about the cities,are,is,1,-3.382028579711914,-6.541632652282715
30,Franck_3_PPS,PPS,The authors of the speeches about the city,are,is,1,-2.897737503051758,-5.7688798904418945
31,Franck_3_PPP,PPP,The authors of the speeches about the cities,are,is,1,-3.2045059204101562,-6.797450065612793
