,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,item,condition,sentence,target,alternative,(lstm 0 at word 1),(lstm 0 at word 2),(lstm 0 at word 3),(lstm 0 at word 4),(lstm 0 at word 5),(lstm 0 at word 6),(lstm 0 at word 7),(lstm 0 at word 8),(lstm 0 at word 9),(lstm 0 at word 10),(lstm 1 at word 1),(lstm 1 at word 2),(lstm 1 at word 3),(lstm 1 at word 4),(lstm 1 at word 5),(lstm 1 at word 6),(lstm 1 at word 7),(lstm 1 at word 8),(lstm 1 at word 9),(lstm 1 at word 10),(lstm 2 at word 1),(lstm 2 at word 2),(lstm 2 at word 3),(lstm 2 at word 4),(lstm 2 at word 5),(lstm 2 at word 6),(lstm 2 at word 7),(lstm 2 at word 8),(lstm 2 at word 9),(lstm 2 at word 10),(lstm 3 at word 1),(lstm 3 at word 2),(lstm 3 at word 3),(lstm 3 at word 4),(lstm 3 at word 5),(lstm 3 at word 6),(lstm 3 at word 7),(lstm 3 at word 8),(lstm 3 at word 9),(lstm 3 at word 10),(lstm 4 at word 1),(lstm 4 at word 2),(lstm 4 at word 3),(lstm 4 at word 4),(lstm 4 at word 5),(lstm 4 at word 6),(lstm 4 at word 7),(lstm 4 at word 8),(lstm 4 at word 9),(lstm 4 at word 10),rnng 0 correct (surprisal),rnng 1 correct (surprisal),rnng 2 correct (surprisal),rnng 3 correct (surprisal),rnng 4 correct (surprisal),lstm 0 (surprisal),lstm 1 (surprisal),lstm 2 (surprisal),lstm 3 (surprisal),lstm 4 (surprisal)
0,0,0,0,Wagers23_0_SSU,SSU,The runner who the driver see during the commute every morning always waves to say hello,-1,-1,13.775209426879883,3.738642692565918,5.701265335083008,5.362722396850586,7.958437919616699,5.786759376525879,0.3084220886230469,10.26266098022461,9.184986114501953,4.002996444702148,13.515851020812988,4.196817398071289,6.354427337646484,6.459813594818115,9.532144546508789,6.303671836853027,0.6004505157470703,10.819421768188477,8.58481502532959,2.6614770889282227,13.676239013671875,3.917757987976074,6.03592586517334,6.123725891113281,10.446504592895508,4.491262435913086,0.5505685806274414,11.216909408569336,9.025218963623047,3.6054458618164062,13.803924560546875,5.5179443359375,7.163403034210205,5.669366836547852,9.514323234558105,5.0130462646484375,0.4616069793701172,11.289291381835938,8.45495891571045,3.1359357833862305,12.794477462768555,4.6000471115112305,5.9932966232299805,5.978695392608643,10.15384578704834,6.4012041091918945,0.5653305053710938,11.018943786621094,9.882306098937988,4.789682388305664,137.286,135.061,132.525,134.447,131.597,102.88607978820801,105.19802808761597,104.98464488983154,106.17446565628052,108.66270780563354
1,1,1,1,Wagers23_0_SSG,SSG,The runner who the driver sees during the commute every morning always waves to say hello,-1,-1,13.775209426879883,3.738642692565918,5.701265335083008,5.362722396850586,4.87432861328125,5.233811378479004,0.3069028854370117,10.282402992248535,9.221946716308594,4.037866592407227,13.515851020812988,4.196817398071289,6.354427337646484,6.459813594818115,5.300906181335449,6.102730751037598,0.6272573471069336,11.01072883605957,8.828519821166992,2.7755374908447266,13.676239013671875,3.917757987976074,6.03592586517334,6.123725891113281,5.461386680603027,4.771587371826172,0.5636663436889648,11.072629928588867,9.003908157348633,3.4665040969848633,13.803924560546875,5.5179443359375,7.163403034210205,5.669366836547852,5.807938575744629,5.066984176635742,0.5229310989379883,11.176019668579102,8.540332794189453,2.9640588760375977,12.794477462768555,4.6000471115112305,5.9932966232299805,5.978695392608643,6.738656997680664,4.946756362915039,0.5451345443725586,11.116804122924805,9.48498249053955,4.6557769775390625,140.069,131.915,133.755,142.625,136.464,99.09775447845459,101.2328896522522,99.70500373840332,102.26061677932739,103.32518148422241
2,2,2,2,Wagers23_0_SPU,SPU,The runners who the driver see during the commute every morning always wave to say hello,-1,-1,13.831823348999023,3.3511762619018555,6.613433837890625,5.987983703613281,6.877086639404297,5.715285301208496,0.3736438751220703,9.91042423248291,8.706417083740234,4.166828155517578,14.171655654907227,3.565103530883789,6.084609031677246,5.827069282531738,7.275678634643555,5.325762748718262,0.6067781448364258,11.109962463378906,8.565479278564453,3.0138254165649414,13.876335144042969,4.034363746643066,6.727435111999512,6.280569076538086,8.2504301071167,4.833001136779785,0.5362014770507812,11.199943542480469,8.680983543395996,3.5226449966430664,14.372112274169922,3.8311843872070312,7.491297721862793,6.258845806121826,6.838400363922119,4.726238250732422,0.3800363540649414,11.120519638061523,8.593433380126953,2.9093189239501953,14.222986221313477,4.299426078796387,6.785639762878418,6.609930992126465,8.077610969543457,6.059089660644531,0.5827350616455078,10.78040885925293,9.83426570892334,4.957924842834473,141.138,132.537,133.00799999999998,141.57,136.299,104.1332836151123,102.95068454742432,105.91997241973877,101.90091848373413,109.9833402633667
3,3,3,3,Wagers23_0_SPG,SPG,The runners who the driver sees during the commute every morning always wave to say hello,-1,-1,13.831823348999023,3.3511762619018555,6.613433837890625,5.987983703613281,6.48253059387207,4.840965270996094,0.35419559478759766,9.830423355102539,8.842366218566895,4.171304702758789,14.171655654907227,3.565103530883789,6.084609031677246,5.827069282531738,6.303114891052246,5.0872907638549805,0.6173458099365234,11.195279121398926,8.947336196899414,3.146116256713867,13.876335144042969,4.034363746643066,6.727435111999512,6.280569076538086,7.132063865661621,4.912201881408691,0.5547561645507812,11.18991756439209,8.776239395141602,3.4010820388793945,14.372112274169922,3.8311843872070312,7.491297721862793,6.258845806121826,6.31915283203125,4.60386848449707,0.4113311767578125,11.029144287109375,8.64834976196289,2.8301143646240234,14.222986221313477,4.299426078796387,6.785639762878418,6.609930992126465,7.292067527770996,4.920551300048828,0.592442512512207,10.85513687133789,9.728525161743164,4.9259033203125,143.813,132.034,134.013,149.559,136.167,102.5630235671997,102.0140733718872,104.6091194152832,101.31719255447388,107.84469795227051
4,4,4,4,Wagers23_0_PSU,PSU,The runner who the drivers sees during the commute every morning always waves to say hello,-1,-1,13.775209426879883,3.738642692565918,5.701265335083008,8.567544937133789,7.845012187957764,5.238726615905762,0.3001985549926758,10.091476440429688,8.821380615234375,4.110027313232422,13.515851020812988,4.196817398071289,6.354427337646484,9.838510513305664,7.344520092010498,6.2191057205200195,0.6575155258178711,11.281803131103516,9.520819664001465,3.334064483642578,13.676239013671875,3.917757987976074,6.03592586517334,8.082469940185547,8.981542587280273,4.723411560058594,0.6837234497070312,11.665690422058105,8.790849685668945,3.448162078857422,13.803924560546875,5.5179443359375,7.163403034210205,7.3429388999938965,9.535511016845703,5.140103340148926,0.4286174774169922,12.01294231414795,8.555205345153809,3.373774528503418,12.794477462768555,4.6000471115112305,5.9932966232299805,8.268184661865234,9.731492042541504,5.088120460510254,0.5695581436157227,10.920109748840332,9.662696838378906,4.784311294555664,144.67,137.422,139.191,142.938,138.315,104.95043325424194,108.6646237373352,106.38794612884521,108.5305233001709,108.19877815246582
5,5,5,5,Wagers23_0_PSG,PSG,The runner who the drivers see during the commute every morning always waves to say hello,-1,-1,13.775209426879883,3.738642692565918,5.701265335083008,8.567544937133789,7.0254411697387695,5.544607162475586,0.31949806213378906,10.083256721496582,8.833053588867188,4.112771987915039,13.515851020812988,4.196817398071289,6.354427337646484,9.838510513305664,7.3794965744018555,6.364580154418945,0.6399288177490234,11.068755149841309,9.29288101196289,3.333627700805664,13.676239013671875,3.917757987976074,6.03592586517334,8.082469940185547,7.534465789794922,4.51708984375,0.6894197463989258,11.689943313598633,8.670730590820312,3.5767555236816406,13.803924560546875,5.5179443359375,7.163403034210205,7.3429388999938965,6.040471076965332,4.954431533813477,0.36483287811279297,12.063261985778809,8.542076110839844,3.534748077392578,12.794477462768555,4.6000471115112305,5.9932966232299805,8.268184661865234,7.30888032913208,5.8785810470581055,0.54736328125,11.00344181060791,9.857930183410645,4.863559722900391,136.077,133.313,130.25,130.266,134.778,104.54507350921631,108.51895427703857,105.10475826263428,104.99343299865723,106.764732837677
6,6,6,6,Wagers23_0_PPU,PPU,The runners who the drivers sees during the commute every morning always wave to say hello,-1,-1,13.831823348999023,3.3511762619018555,6.613433837890625,7.375217437744141,9.689814567565918,4.80135440826416,0.38028717041015625,9.674927711486816,8.434798240661621,4.379077911376953,14.171655654907227,3.565103530883789,6.084609031677246,7.327341556549072,8.687894821166992,5.237408638000488,0.578251838684082,11.25187873840332,9.234622955322266,3.6824302673339844,13.876335144042969,4.034363746643066,6.727435111999512,6.643213748931885,11.165271759033203,5.004772186279297,0.5991973876953125,11.741189956665039,8.702850341796875,3.4662513732910156,14.372112274169922,3.8311843872070312,7.491297721862793,6.935899257659912,10.008587837219238,4.604058265686035,0.3836383819580078,11.930574417114258,8.816947937011719,3.000734329223633,14.222986221313477,4.299426078796387,6.785639762878418,6.6969122886657715,10.686107635498047,4.9491472244262695,0.6130857467651367,10.706339836120605,9.70969009399414,5.050173759460449,148.118,136.329,137.95,151.81799999999996,139.836,106.81025791168213,107.15714597702026,110.06218242645264,106.3778567314148,111.21344327926636
7,7,7,7,Wagers23_0_PPG,PPG,The runners who the drivers see during the commute every morning always wave to say hello,-1,-1,13.831823348999023,3.3511762619018555,6.613433837890625,7.375217437744141,7.076574325561523,5.442292213439941,0.4341163635253906,9.694984436035156,8.249518394470215,4.36763858795166,14.171655654907227,3.565103530883789,6.084609031677246,7.327341556549072,7.307404041290283,5.305141448974609,0.5682535171508789,11.101676940917969,8.866010665893555,3.647261619567871,13.876335144042969,4.034363746643066,6.727435111999512,6.643213748931885,6.441435813903809,4.950043678283691,0.6253223419189453,11.69544792175293,8.488492012023926,3.6362438201904297,14.372112274169922,3.8311843872070312,7.491297721862793,6.935899257659912,5.026215553283691,4.560715675354004,0.34256935119628906,12.051312446594238,8.794319152832031,3.1000308990478516,14.222986221313477,4.299426078796387,6.785639762878418,6.6969122886657715,6.5328826904296875,5.679071426391602,0.5908603668212891,10.842580795288086,9.799784660339355,5.099882125854492,139.422,126.355,131.34,137.036,136.642,104.92326545715332,105.55727291107178,105.40343141555786,101.2820782661438,107.90765619277954
8,8,8,8,Wagers23_1_SSU,SSU,The industrialist who the activist criticize always puts profit above concern for the environment,-1,-1,13.91203784942627,3.443746566772461,7.186636924743652,9.83073616027832,11.834847450256348,11.467912673950195,8.392593383789062,11.097838401794434,7.787189483642578,12.389421463012695,13.290899276733398,4.752025604248047,7.487056255340576,10.163994789123535,12.341850280761719,10.151620864868164,7.625435829162598,10.071280479431152,7.7478837966918945,12.09556770324707,13.41958236694336,4.827310562133789,6.2402544021606445,11.52098274230957,12.428512573242188,9.999897003173828,8.564571380615234,9.484245300292969,7.599320411682129,9.754631042480469,13.66506576538086,4.592592239379883,7.226963996887207,9.460989952087402,11.573108673095703,9.268489837646484,7.620413780212402,9.678352355957031,7.048949241638184,11.460866928100586,13.749267578125,5.114232063293457,6.412405967712402,10.195980072021484,12.165155410766602,10.407390594482422,8.605881690979004,10.75324535369873,7.585406303405762,11.305728912353516,131.528,146.707,139.569,133.355,140.188,106.89303970336914,105.87051677703857,104.08843040466309,101.39275932312012,105.29273891448975
9,9,9,9,Wagers23_1_SSG,SSG,The industrialist who the activist criticizes always puts profit above concern for the environment,-1,-1,13.91203784942627,3.443746566772461,7.186636924743652,9.83073616027832,11.003844261169434,11.377178192138672,8.01138687133789,10.997754096984863,7.8444719314575195,12.279565811157227,13.290899276733398,4.752025604248047,7.487056255340576,10.163994789123535,11.10043716430664,10.64222526550293,8.15092658996582,9.755758285522461,7.876860618591309,11.891718864440918,13.41958236694336,4.827310562133789,6.2402544021606445,11.52098274230957,12.834906578063965,9.60307502746582,8.315954208374023,9.583797454833984,7.48692512512207,9.603578567504883,13.66506576538086,4.592592239379883,7.226963996887207,9.460989952087402,11.289627075195312,9.546189308166504,7.93041467666626,9.81326961517334,7.092128753662109,11.421426773071289,13.749267578125,5.114232063293457,6.412405967712402,10.195980072021484,11.491592407226562,10.70738410949707,9.123319625854492,11.011569023132324,7.80963134765625,10.854883193969727,129.566,131.783,132.313,129.161,134.582,105.54651355743408,105.33421564102173,103.86841106414795,101.89878463745117,105.44955015182495
